f_number,reference_height_fraction,frequency_lp_mm,direction,reference,model,model_minus_reference,sampling
22,0,5,S,0.91,0.9113066713285081,0.0013066713285080356,512
22,0,10,T,0.83,0.8062003872528776,-0.02379961274712239,512
22,0,10,S,0.83,0.8062003872528776,-0.02379961274712239,512
22,0,20,T,0.67,0.6004796758919454,-0.06952032410805464,512
22,0,20,S,0.67,0.6004796758919454,-0.06952032410805464,512
22,0.1,5,T,0.91,0.9146754615945585,0.00467546159455845,512
22,0.1,5,S,0.91,0.9143657888582363,0.004365788858236241,512
22,0.1,10,T,0.815,0.8195623482634526,0.004562348263452698,512
22,0.1,10,S,0.83,0.8170110236767383,-0.01298897632326168,512
22,0.1,20,T,0.645,0.6311103088808906,-0.013889691119109426,512
22,0.1,20,S,0.665,0.6268838485075804,-0.03811615149241965,512
22,0.2,5,T,0.9,0.907411578672598,0.007411578672598007,512
22,0.2,5,S,0.91,0.9180745332636125,0.008074533263612516,512
22,0.2,10,T,0.79,0.8020313781322019,0.012031378132201898,512
22,0.2,10,S,0.825,0.8314129632265497,0.006412963226549717,512
22,0.2,20,T,0.585,0.5845970331939397,-0.00040296680606022317,512
22,0.2,20,S,0.665,0.6625452168983844,-0.0024547831016156207,512
22,0.3,5,T,0.89,0.8864775795464378,-0.003522420453562214,512
22,0.3,5,S,0.91,0.9157889072465698,0.005788907246569774,512
22,0.3,10,T,0.76,0.7489742420590999,-0.011025757940900105,512
22,0.3,10,S,0.82,0.8273669506842491,0.007366950684249196,512
22,0.3,20,T,0.525,0.4770757578732915,-0.04792424212670854,512
22,0.3,20,S,0.65,0.6535684495438571,0.003568449543857044,512
22,0.4,5,T,0.875,0.8662662746822632,-0.008733725317736751,512
22,0.4,5,S,0.905,0.9081944504820502,0.0031944504820501374,512
22,0.4,10,T,0.73,0.7061834202501505,-0.02381657974984952,512
22,0.4,10,S,0.815,0.807641085761531,-0.0073589142384689055,512
22,0.4,20,T,0.455,0.4018818975130727,-0.05311810248692733,512
22,0.4,20,S,0.635,0.6109629499965827,-0.02403705000341727,512
22,0.5,5,T,0.85,0.8408314914281662,-0.009168508571833822,512
22,0.5,5,S,0.9,0.8985190112281515,-0.001480988771848546,512
22,0.5,10,T,0.69,0.654245274196618,-0.035754725803381904,512
22,0.5,10,S,0.81,0.7829748709860482,-0.02702512901395182,512
22,0.5,20,T,0.39,0.32638276424404067,-0.06361723575595934,512
22,0.5,20,S,0.62,0.5623736235860207,-0.057626376413979274,512
22,0.6,5,T,0.81,0.8051038223301141,-0.004896177669885926,512
22,0.6,5,S,0.89,0.8896108459311629,-0.00038915406883710535,512
22,0.6,10,T,0.62,0.5848490913136941,-0.03515090868630588,512
