f_number,reference_height_fraction,frequency_lp_mm,direction,reference,model,model_minus_reference,sampling
22,0.2,20,T,0.585,0.6111060862180138,0.026106086218013802,512
22,0.2,20,S,0.665,0.6586502621321286,-0.006349737867871408,512
22,0.3,5,T,0.89,0.8947800752001425,0.004780075200142453,512
22,0.3,5,S,0.91,0.9169592848977733,0.00695928489777331,512
22,0.3,10,T,0.76,0.7740588344271024,0.014058834427102429,512
22,0.3,10,S,0.82,0.8311690857141476,0.011169085714147653,512
22,0.3,20,T,0.525,0.5301993443869808,0.005199344386980775,512
22,0.3,20,S,0.65,0.6627478054654491,0.012747805465449069,512
22,0.4,5,T,0.875,0.867092254900041,-0.007907745099958952,512
22,0.4,5,S,0.905,0.9094150983090713,0.004415098309071275,512
22,0.4,10,T,0.73,0.7091022177699827,-0.02089778223001726,512
22,0.4,10,S,0.815,0.8116266811125445,-0.003373318887455401,512
22,0.4,20,T,0.455,0.41882569865964636,-0.036174301340353654,512
22,0.4,20,S,0.635,0.6201585607410919,-0.014841439258908129,512
22,0.5,5,T,0.85,0.836137870194226,-0.013862129805773948,512
22,0.5,5,S,0.9,0.8969740707267867,-0.0030259292732133236,512
22,0.5,10,T,0.69,0.646733067816806,-0.043266932183193996,512
22,0.5,10,S,0.81,0.7784097179820417,-0.03159028201795833,512
22,0.5,20,T,0.39,0.3433100464201684,-0.04668995357983163,512
22,0.5,20,S,0.62,0.5529342123016244,-0.06706578769837557,512
22,0.6,5,T,0.81,0.8065068301498339,-0.0034931698501661224,512
22,0.6,5,S,0.89,0.8852042598775172,-0.00479574012248285,512
22,0.6,10,T,0.62,0.5968899936312401,-0.023110006368759928,512
22,0.6,10,S,0.8,0.7489795420020914,-0.051020457997908664,512
22,0.6,20,T,0.305,0.29666624498377436,-0.00833375501622563,512
22,0.6,20,S,0.6,0.5005542664517467,-0.09944573354825326,512
22,0.68,5,T,0.77,0.7757936408493391,0.005793640849339088,512
22,0.68,5,S,0.885,0.8793842457746529,-0.005615754225347103,512
22,0.68,10,T,0.545,0.5453926830329079,0.0003926830329078479,512
22,0.68,10,S,0.775,0.7370679087795624,-0.037932091220437614,512
22,0.68,20,T,0.225,0.2403516173753549,0.015351617375354898,512
22,0.68,20,S,0.56,0.4839704515315566,-0.07602954846844345,512
22,0.7,5,T,0.755,0.765512248168296,0.01051224816829599,512
22,0.7,5,S,0.88,0.8784940396115891,-0.0015059603884108874,512
22,0.7,10,T,0.52,0.5283714778269581,0.00837147782695813,512
22,0.7,10,S,0.77,0.7358454931492534,-0.03415450685074661,512
22,0.7,20,T,0.2,0.22223127794828565,0.022231277948285638,512
22,0.7,20,S,0.55,0.48313266997486937,-0.06686733002513068,512
22,0.78,5,T,0.73,0.7089891185473248,-0.021010881452675156,512
22,0.78,5,S,0.865,0.8761856734781437,0.011185673478143698,512
22,0.78,10,T,0.485,0.44488933806295994,-0.04011066193704005,512
22,0.78,10,S,0.7,0.7351117684749164,0.03511176847491648,512
22,0.78,20,T,0.11,0.1416310350351324,0.03163103503513241,512
22,0.78,20,S,0.43,0.48658930777065174,0.05658930777065174,512
22,0.8,5,T,0.715,0.6908431664576073,-0.02415683354239262,512
22,0.8,5,S,0.86,0.8755863880329703,0.0155863880329703,512
22,0.8,10,T,0.46,0.42166187710022796,-0.038338122899772065,512
22,0.8,10,S,0.685,0.7350814253790254,0.05008142537902538,512
22,0.8,20,T,0.09,0.12076715038775673,0.030767150387756736,512
22,0.8,20,S,0.4,0.48755983626413296,0.08755983626413294,512
22,0.9,5,T,0.61,0.5838310449209987,-0.0261689550790013,512
22,0.9,5,S,0.81,0.8673798487267309,0.05737984872673085,512
22,0.9,10,T,0.345,0.3025171006242964,-0.0424828993757036,512
22,0.9,10,S,0.57,0.7235431905714658,0.15354319057146582,512
22,0.9,20,T,0.03,0.030658239162812198,0.0006582391628121992,512
22,0.9,20,S,0.28,0.4751206971764095,0.19512069717640945,512
22,1,5,T,0.44,0.4651682686717377,0.025168268671737715,512
22,1,5,S,0.74,0.8395968906025921,0.09959689060259214,512
22,1,10,T,0.2,0.18558349240333682,-0.014416507596663186,512
22,1,10,S,0.485,0.6712227505710116,0.18622275057101156,512
22,1,20,T,0.03,0.002154474510745244,-0.027845525489254754,512
22,1,20,S,0.225,0.41337335680863346,0.18837335680863346,512
