f_number,reference_height_fraction,frequency_lp_mm,direction,reference,model,model_minus_reference,sampling
5.6,0.6,5,S,0.575,0.4900485773189608,-0.08495142268103917,1024
5.6,0.6,10,T,0.215,0.34253101182379964,0.12753101182379964,1024
5.6,0.6,10,S,0.32,0.39985872780960674,0.07985872780960673,1024
5.6,0.6,20,T,0.085,0.17225521868728347,0.08725521868728346,1024
5.6,0.6,20,S,0.24,0.26390124047977986,0.023901240479779873,1024
5.6,0.68,5,T,0.39,0.4731384489373627,0.08313844893736266,1024
5.6,0.68,5,S,0.525,0.4716715462780372,-0.05332845372196282,1024
5.6,0.68,10,T,0.2,0.3195588502375035,0.11955885023750351,1024
5.6,0.68,10,S,0.285,0.3846254850559121,0.09962548505591212,1024
5.6,0.68,20,T,0.09,0.1663538027089008,0.0763538027089008,1024
5.6,0.68,20,S,0.2,0.26042205238813354,0.06042205238813353,1024
8,0,5,T,0.94,0.9518934507901116,0.011893450790111615,512
8,0,5,S,0.94,0.9518934507901116,0.011893450790111615,512
8,0,10,T,0.87,0.8711239638362974,0.0011239638362974258,512
8,0,10,S,0.87,0.8711239638362974,0.0011239638362974258,512
8,0,20,T,0.69,0.6681952069433951,-0.021804793056604876,512
8,0,20,S,0.69,0.6681952069433951,-0.021804793056604876,512
8,0.1,5,T,0.87,0.9425142647106086,0.07251426471060862,512
8,0.1,5,S,0.94,0.9502588004261664,0.010258800426166448,512
8,0.1,10,T,0.78,0.8402634764408478,0.06026347644084773,512
8,0.1,10,S,0.855,0.8662484863620984,0.011248486362098409,512
8,0.1,20,T,0.595,0.5926529301125204,-0.0023470698874795692,512
8,0.1,20,S,0.64,0.6566563348407716,0.01665633484077156,512
8,0.2,5,T,0.765,0.9086377317739767,0.14363773177397665,512
8,0.2,5,S,0.915,0.9449947232352448,0.02999472323524477,512
8,0.2,10,T,0.61,0.7419338576556347,0.1319338576556347,512
8,0.2,10,S,0.795,0.8538698573374726,0.05886985733747252,512
8,0.2,20,T,0.39,0.4386531215087106,0.048653121508710595,512
8,0.2,20,S,0.55,0.6383071391988766,0.08830713919887656,512
8,0.3,5,T,0.68,0.8266901492839007,0.14669014928390067,512
8,0.3,5,S,0.86,0.9296194340415815,0.06961943404158155,512
8,0.3,10,T,0.48,0.5763263239464407,0.0963263239464407,512
8,0.3,10,S,0.715,0.8259222627810993,0.11092226278109929,512
8,0.3,20,T,0.235,0.2696425120827321,0.03464251208273211,512
8,0.3,20,S,0.465,0.6130105249816671,0.14801052498166706,512
8,0.4,5,T,0.67,0.7588139786456635,0.08881397864566343,512
8,0.4,5,S,0.765,0.8835817857554489,0.11858178575544887,512
8,0.4,10,T,0.4,0.5185250368231282,0.1185250368231282,512
8,0.4,10,S,0.6,0.7499544777583824,0.14995447775838244,512
8,0.4,20,T,0.15,0.1589343438344319,0.008934343834431896,512
8,0.4,20,S,0.4,0.5319757259806356,0.13197572598063556,512
8,0.5,5,T,0.66,0.7536100769468992,0.09361007694689916,512
8,0.5,5,S,0.66,0.7804817242466086,0.12048172424660852,512
8,0.5,10,T,0.385,0.5073127844561383,0.12231278445613825,512
8,0.5,10,S,0.49,0.6245059913175233,0.13450599131752328,512
8,0.5,20,T,0.14,0.2131638001934643,0.07316380019346427,512
8,0.5,20,S,0.35,0.43403769644168133,0.08403769644168135,512
8,0.6,5,T,0.55,0.632907581376644,0.082907581376644,512
8,0.6,5,S,0.56,0.6365175089764391,0.07651750897643905,512
8,0.6,10,T,0.33,0.415043349090535,0.08504334909053496,512
8,0.6,10,S,0.395,0.525579899230765,0.13057989923076496,512
8,0.6,20,T,0.145,0.20560094298268464,0.06060094298268465,512
8,0.6,20,S,0.275,0.35421431185556695,0.07921431185556693,512
8,0.68,5,T,0.46,0.5401728652229516,0.08017286522295158,512
8,0.68,5,S,0.49,0.5622727690785537,0.07227276907855373,512
8,0.68,10,T,0.275,0.35969033537163175,0.08469033537163173,512
8,0.68,10,S,0.33,0.4720141717993461,0.1420141717993461,512
8,0.68,20,T,0.13,0.17334912078778925,0.04334912078778924,512
8,0.68,20,S,0.215,0.3302566775431189,0.11525667754311889,512
8,0.7,5,T,0.44,0.5208123819358621,0.0808123819358621,512
8,0.7,5,S,0.47,0.5559362370673436,0.08593623706734366,512
8,0.7,10,T,0.26,0.3420435867250352,0.0820435867250352,512
8,0.7,10,S,0.305,0.4572807212414557,0.1522807212414557,512
8,0.7,20,T,0.12,0.16465758049006063,0.04465758049006063,512
8,0.7,20,S,0.2,0.32507411560024685,0.12507411560024684,512
8,0.78,5,T,0.36,0.4564136568556425,0.09641365685564252,512
8,0.78,5,S,0.4,0.5230742637725411,0.12307426377254105,512
8,0.78,10,T,0.205,0.27896044731786523,0.07396044731786525,512
8,0.78,10,S,0.255,0.4283389081022144,0.17333890810221442,512
8,0.78,20,T,0.075,0.12619074551893047,0.05119074551893048,512
8,0.78,20,S,0.155,0.3141287278001301,0.15912872780013013,512
22,0,5,T,0.91,0.9122379354567596,0.0022379354567595433,512
22,0,5,S,0.91,0.9122379354567596,0.0022379354567595433,512
22,0,10,T,0.83,0.8106968163358093,-0.019303183664190704,512
22,0,10,S,0.83,0.8106968163358093,-0.019303183664190704,512
22,0,20,T,0.67,0.6147394636963573,-0.05526053630364269,512
22,0,20,S,0.67,0.6147394636963573,-0.05526053630364269,512
22,0.1,5,T,0.91,0.9125918653111278,0.002591865311127761,512
22,0.1,5,S,0.91,0.914068503748046,0.004068503748046015,512
22,0.1,10,T,0.815,0.8139428711272498,-0.0010571288727501127,512
22,0.1,10,S,0.83,0.8171272451960669,-0.012872754803933018,512
22,0.1,20,T,0.645,0.62293158860515,-0.02206841139485005,512
22,0.1,20,S,0.665,0.6296036785343233,-0.03539632146567673,512
22,0.2,5,T,0.9,0.9101376808450747,0.010137680845074715,512
22,0.2,5,S,0.91,0.9170895718852722,0.00708957188527215,512
22,0.2,10,T,0.79,0.8123677572240706,0.022367757224070584,512
22,0.2,10,S,0.825,0.8286103640203296,0.0036103640203296594,512
22,0.2,20,T,0.585,0.6197964623566293,0.034796462356629365,512
22,0.2,20,S,0.665,0.6564396637835292,-0.008560336216470787,512
22,0.3,5,T,0.89,0.8991966197596005,0.00919661975960051,512
22,0.3,5,S,0.91,0.9162370314999144,0.006237031499914392,512
22,0.3,10,T,0.76,0.788751891628134,0.028751891628133963,512
22,0.3,10,S,0.82,0.8289944710834679,0.008994471083467959,512
22,0.3,20,T,0.525,0.5687836754038427,0.04378367540384265,512
22,0.3,20,S,0.65,0.6578160258905476,0.007816025890547529,512
