f_number,reference_height_fraction,frequency_lp_mm,direction,reference,model,model_minus_reference,sampling
8,0.7,10,T,0.26,0.33188334854900986,0.07188334854900985,512
8,0.7,10,S,0.305,0.4664776595318141,0.1614776595318141,512
8,0.7,20,T,0.12,0.12426015951484658,0.0042601595148465815,512
8,0.7,20,S,0.2,0.32575384538745994,0.12575384538745993,512
8,0.78,5,T,0.36,0.5028867671340422,0.14288676713404225,512
8,0.78,5,S,0.4,0.5282707684649605,0.12827076846496044,512
8,0.78,10,T,0.205,0.2964353591130179,0.0914353591130179,512
8,0.78,10,S,0.255,0.4308659086568718,0.1758659086568718,512
8,0.78,20,T,0.075,0.12223013760351052,0.047230137603510525,512
8,0.78,20,S,0.155,0.31029127171204374,0.15529127171204374,512
22,0,5,T,0.91,0.9112924834634565,0.0012924834634564508,512
22,0,5,S,0.91,0.9112924834634565,0.0012924834634564508,512
22,0,10,T,0.83,0.8075938058945255,-0.02240619410547451,512
22,0,10,S,0.83,0.8075938058945255,-0.02240619410547451,512
22,0,20,T,0.67,0.6072255083766426,-0.06277449162335746,512
22,0,20,S,0.67,0.6072255083766426,-0.06277449162335746,512
22,0.1,5,T,0.91,0.912222309259398,0.0022223092593979255,512
22,0.1,5,S,0.91,0.9133186818376422,0.003318681837642168,512
22,0.1,10,T,0.815,0.8125512971549228,-0.002448702845077144,512
22,0.1,10,S,0.83,0.8146514380625929,-0.01534856193740708,512
22,0.1,20,T,0.645,0.618718552438723,-0.026281447561277038,512
22,0.1,20,S,0.665,0.62360157134477,-0.041398428655230024,512
22,0.2,5,T,0.9,0.909914776437347,0.00991477643734695,512
22,0.2,5,S,0.91,0.9168567366716228,0.006856736671622787,512
22,0.2,10,T,0.79,0.811168407099885,0.02116840709988499,512
22,0.2,10,S,0.825,0.8278059637862936,0.002805963786293608,512
22,0.2,20,T,0.585,0.614042756148588,0.02904275614858809,512
22,0.2,20,S,0.665,0.654562701184055,-0.010437298815945018,512
22,0.3,5,T,0.89,0.8959029277668563,0.005902927766856303,512
22,0.3,5,S,0.91,0.9166379304231704,0.006637930423170402,512
22,0.3,10,T,0.76,0.778502448269009,0.018502448269009042,512
22,0.3,10,S,0.82,0.8302443194864924,0.010244319486492404,512
22,0.3,20,T,0.525,0.5445721803546616,0.019572180354661572,512
22,0.3,20,S,0.65,0.6610143783435777,0.011014378343577658,512
22,0.4,5,T,0.875,0.8692313907217009,-0.005768609278299142,512
22,0.4,5,S,0.905,0.9094834829338131,0.0044834829338130655,512
22,0.4,10,T,0.73,0.7167805391874988,-0.013219460812501138,512
22,0.4,10,S,0.815,0.8119580583672095,-0.003041941632790479,512
22,0.4,20,T,0.455,0.4390616375758066,-0.015938362424193442,512
22,0.4,20,S,0.635,0.6214111573585058,-0.013588842641494181,512
22,0.5,5,T,0.85,0.836774316210928,-0.013225683789071963,512
22,0.5,5,S,0.9,0.8971553883117441,-0.0028446116882558936,512
22,0.5,10,T,0.69,0.6506348863566345,-0.03936511364336548,512
22,0.5,10,S,0.81,0.7791339589293268,-0.030866041070673256,512
22,0.5,20,T,0.39,0.35657901439872824,-0.03342098560127177,512
22,0.5,20,S,0.62,0.5550920258602214,-0.06490797413977856,512
22,0.6,5,T,0.81,0.80233108948972,-0.007668910510280069,512
22,0.6,5,S,0.89,0.8849346741146764,-0.005065325885323602,512
22,0.6,10,T,0.62,0.5899763008206239,-0.030023699179376084,512
22,0.6,10,S,0.8,0.7484182309694554,-0.05158176903054468,512
22,0.6,20,T,0.305,0.2964197118012421,-0.00858028819875789,512
22,0.6,20,S,0.6,0.5002484261221877,-0.0997515738778123,512
22,0.68,5,T,0.77,0.7672347636506036,-0.002765236349396405,512
22,0.68,5,S,0.885,0.878405774138649,-0.006594225861351055,512
22,0.68,10,T,0.545,0.5308408000950757,-0.014159199904924313,512
22,0.68,10,S,0.775,0.7344905512835322,-0.04050944871646778,512
22,0.68,20,T,0.225,0.23569539996133193,0.010695399961331925,512
22,0.68,20,S,0.56,0.4800936006979481,-0.07990639930205196,512
22,0.7,5,T,0.755,0.7561453363200665,0.0011453363200665256,512
22,0.7,5,S,0.88,0.8773235210510445,-0.0026764789489555074,512
22,0.7,10,T,0.52,0.5128532315883743,-0.007146768411625759,512
22,0.7,10,S,0.77,0.732722536225047,-0.037277463774953,512
22,0.7,20,T,0.2,0.2180573462167119,0.0180573462167119,512
22,0.7,20,S,0.55,0.4783320100464292,-0.07166798995357082,512
22,0.78,5,T,0.73,0.698544964307411,-0.031455035692589006,512
22,0.78,5,S,0.865,0.8744097140362551,0.009409714036255123,512
22,0.78,10,T,0.485,0.4299647881812326,-0.05503521181876736,512
22,0.78,10,S,0.7,0.7302333077067545,0.030233307706754586,512
22,0.78,20,T,0.11,0.1424268969555222,0.032426896955522186,512
22,0.78,20,S,0.43,0.4789755170333963,0.04897551703339631,512
22,0.8,5,T,0.715,0.6806354887706212,-0.03436451122937878,512
22,0.8,5,S,0.86,0.8737481492829756,0.01374814928297563,512
22,0.8,10,T,0.46,0.4077301635674343,-0.05226983643256572,512
22,0.8,10,S,0.685,0.7299956296701603,0.04499562967016024,512
22,0.8,20,T,0.09,0.1224988702945852,0.0324988702945852,512
22,0.8,20,S,0.4,0.47965643789770185,0.07965643789770183,512
22,0.9,5,T,0.61,0.5743493296643093,-0.03565067033569069,512
22,0.9,5,S,0.81,0.8663433344645097,0.056343334464509676,512
